GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month
2012R0508,2012,5,2012-04-29,16.0,8.6,1.6,Docklands,1900-01-01 15:15:00,28464,Richmond,4.2,9.4,12.9,14.13,97,West Coast,5.3,11.6,12.11,16.11,107,14.0,4.0,94.4,1.0,20.0,170.9,Sunday,4
2012R0509,2012,5,2012-04-29,19.0,7.8,0.0,Football Park,1900-01-01 16:10:00,41649,Adelaide,4.3,10.4,12.7,16.14,110,Port Adelaide,4.2,7.3,13.4,14.7,91,4.0,16.0,123.2,15.0,4.0,83.1,Sunday,4
2012R0601,2012,6,2012-05-04,16.7,9.8,4.0,Docklands,1900-01-01 19:50:00,38155,Western Bulldogs,3.5,5.7,10.1,11.11,77,Collingwood,2.0,6.4,11.5,15.8,98,13.0,8.0,83.9,8.0,16.0,97.3,Friday,5
2012R0602,2012,6,2012-05-05,13.3,7.4,0.0,Docklands,1900-01-01 13:40:00,36361,Essendon,8.3,12.9,16.12,19.15,129,Brisbane Lions,4.1,7.4,8.4,9.8,62,4.0,20.0,128.2,14.0,8.0,78.4,Saturday,5
2012R0603,2012,6,2012-05-05,15.5,8.6,0.0,Kardinia Park,1900-01-01 13:45:00,18010,Geelong,3.5,9.11,15.14,17.17,119,Melbourne,3.0,6.1,10.5,11.1,76,6.0,16.0,114.2,17.0,0.0,59.1,Saturday,5
2012R0604,2012,6,2012-05-05,23.3,14.9,0.0,Carrara,1900-01-01 16:40:00,11670,Gold Coast,3.1,8.2,10.2,14.3,87,Fremantle,3.0,5.3,10.7,14.1,94,16.0,0.0,60.2,7.0,16.0,106.9,Saturday,5
2012R0605,2012,6,2012-05-05,18.9,11.4,0.0,S.C.G.,1900-01-01 19:40:00,23969,Sydney,1.2,7.6,12.7,14.1,94,Adelaide,5.2,8.3,11.6,15.9,99,3.0,20.0,137.2,5.0,20.0,119.9,Saturday,5
2012R0606,2012,6,2012-05-05,13.3,7.4,0.0,M.C.G.,1900-01-01 19:40:00,42290,St Kilda,3.2,7.3,12.7,13.1,88,Hawthorn,3.6,8.9,13.11,18.15,123,9.0,12.0,126.5,11.0,12.0,112.9,Saturday,5
2012R0607,2012,6,2012-05-06,15.6,8.9,1.6,Docklands,1900-01-01 13:10:00,28213,Carlton,3.5,6.8,9.14,15.2,110,Greater Western Sydney,2.1,5.4,6.7,6.7,43,2.0,20.0,157.8,18.0,0.0,42.4,Sunday,5
2012R0608,2012,6,2012-05-06,18.5,11.4,0.0,Football Park,1900-01-01 14:45:00,18522,Port Adelaide,1.2,2.2,6.4,8.6,54,Richmond,3.2,8.7,9.1,13.13,91,15.0,4.0,79.5,12.0,8.0,102.1,Sunday,5
2012R0609,2012,6,2012-05-06,20.5,14.8,10.4,Subiaco,1900-01-01 14:40:00,37202,West Coast,4.4,7.1,12.15,17.18,120,North Melbourne,4.0,7.2,12.2,15.5,95,1.0,24.0,161.5,10.0,12.0,119.6,Sunday,5
