GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month,MinutesSinceMidnight,finalPosition,finalPoints,finalPercentage,finalAPosition,finalAPoints,finalAPercentage
2012R0407,2012,4,2012-04-22,23.2,14.5,7.2,11,1900-01-01 13:10:00,21952,7,4.1,7.3,10.4,11.9,75,14,3.1,3.6,7.1,9.11,65,10.0,8.0,97.7,13.0,4.0,95.5,6,4,790,6,60,117.1,12,42,111.6
2012R0408,2012,4,2012-04-22,25.2,16.3,0.0,8,1900-01-01 15:15:00,21049,16,5.5,9.7,14.9,17.11,113,12,1.3,6.7,7.11,10.17,77,2.0,16.0,148.2,8.0,8.0,128.1,6,4,915,3,64,140.6,8,56,112.5
2012R0409,2012,4,2012-04-22,23.7,13.5,1.4,2,1900-01-01 16:40:00,33565,11,1.5,3.8,7.1,9.13,67,18,3.2,6.5,10.7,13.1,88,16.0,0.0,54.7,15.0,4.0,71.9,6,4,1000,16,16,67.5,15,20,67.0
2012R0501,2012,5,2012-04-25,15.2,8.7,19.0,2,1900-01-01 14:40:00,86932,4,2.4,5.6,9.8,11.14,80,5,1.3,3.6,7.8,11.13,79,10.0,12.0,92.4,5.0,16.0,116.8,2,4,880,4,64,116.5,11,44,100.0
2012R0502,2012,5,2012-04-27,29.5,17.6,0.0,4,1900-01-01 18:45:00,38847,6,1.2,3.9,4.1,7.15,57,3,2.1,6.2,9.4,10.5,65,9.0,12.0,106.7,3.0,16.0,146.5,4,4,1125,7,56,115.7,10,44,108.0
2012R0503,2012,5,2012-04-28,19.4,3.9,0.0,12,1900-01-01 13:45:00,9128,9,2.4,5.5,8.6,9.8,62,18,0.5,8.9,12.12,15.14,104,18.0,0.0,43.0,13.0,8.0,85.1,5,4,825,18,8,46.2,15,20,67.0
2012R0504,2012,5,2012-04-28,21.5,8.2,0.0,5,1900-01-01 16:40:00,17680,12,4.9,8.13,14.22,17.25,127,8,2.5,9.8,10.12,13.15,93,7.0,12.0,129.7,17.0,0.0,55.3,5,4,1000,8,56,112.5,17,12,60.8
2012R0505,2012,5,2012-04-28,21.5,8.2,0.0,2,1900-01-01 19:40:00,24877,11,4.1,8.3,10.6,10.6,66,15,5.4,8.5,10.9,12.12,84,16.0,0.0,58.1,6.0,12.0,146.7,5,4,1180,16,16,67.5,9,48,123.3
2012R0506,2012,5,2012-04-28,21.2,16.1,38.4,7,1900-01-01 19:45:00,15534,2,0.5,0.7,1.9,4.17,41,7,4.1,7.5,10.6,12.7,79,12.0,8.0,87.6,8.0,12.0,106.7,5,4,1185,13,40,91.0,6,60,117.1
2012R0507,2012,5,2012-04-29,15.6,2.1,0.0,13,1900-01-01 13:10:00,19217,10,5.3,8.6,8.6,10.9,69,16,2.2,5.4,9.7,16.1,106,11.0,8.0,107.6,2.0,20.0,149.3,6,4,790,1,68,154.6,3,64,140.6
2012R0508,2012,5,2012-04-29,16.0,8.6,1.6,5,1900-01-01 15:15:00,28464,14,4.2,9.4,12.9,14.13,97,17,5.3,11.6,12.11,16.11,107,14.0,4.0,94.4,1.0,20.0,170.9,6,4,915,12,42,111.6,5,60,124.2
2012R0509,2012,5,2012-04-29,19.0,7.8,0.0,6,1900-01-01 16:10:00,41649,1,4.3,10.4,12.7,16.14,110,13,4.2,7.3,13.4,14.7,91,4.0,16.0,123.2,15.0,4.0,83.1,6,4,970,2,68,132.5,14,22,78.9
2012R0601,2012,6,2012-05-04,16.7,9.8,4.0,5,1900-01-01 19:50:00,38155,18,3.5,5.7,10.1,11.11,77,4,2.0,6.4,11.5,15.8,98,13.0,8.0,83.9,8.0,16.0,97.3,4,5,1190,15,20,67.0,4,64,116.5
2012R0602,2012,6,2012-05-05,13.3,7.4,0.0,5,1900-01-01 13:40:00,36361,5,8.3,12.9,16.12,19.15,129,2,4.1,7.4,8.4,9.8,62,4.0,20.0,128.2,14.0,8.0,78.4,5,5,820,11,44,100.0,13,40,91.0
2012R0603,2012,6,2012-05-05,15.5,8.6,0.0,11,1900-01-01 13:45:00,18010,7,3.5,9.11,15.14,17.17,119,11,3.0,6.1,10.5,11.1,76,6.0,16.0,114.2,17.0,0.0,59.1,5,5,825,6,60,117.1,16,16,67.5
2012R0604,2012,6,2012-05-05,23.3,14.9,0.0,3,1900-01-01 16:40:00,11670,8,3.1,8.2,10.2,14.3,87,6,3.0,5.3,10.7,14.1,94,16.0,0.0,60.2,7.0,16.0,106.9,5,5,1000,17,12,60.8,7,56,115.7
2012R0605,2012,6,2012-05-05,18.9,11.4,0.0,8,1900-01-01 19:40:00,23969,16,1.2,7.6,12.7,14.1,94,1,5.2,8.3,11.6,15.9,99,3.0,20.0,137.2,5.0,20.0,119.9,5,5,1180,3,64,140.6,2,68,132.5
2012R0606,2012,6,2012-05-05,13.3,7.4,0.0,2,1900-01-01 19:40:00,42290,15,3.2,7.3,12.7,13.1,88,10,3.6,8.9,13.11,18.15,123,9.0,12.0,126.5,11.0,12.0,112.9,5,5,1180,9,48,123.3,1,68,154.6
2012R0607,2012,6,2012-05-06,15.6,8.9,1.6,5,1900-01-01 13:10:00,28213,3,3.5,6.8,9.14,15.2,110,9,2.1,5.4,6.7,6.7,43,2.0,20.0,157.8,18.0,0.0,42.4,6,5,790,10,44,108.0,18,8,46.2
2012R0608,2012,6,2012-05-06,18.5,11.4,0.0,6,1900-01-01 14:45:00,18522,13,1.2,2.2,6.4,8.6,54,14,3.2,8.7,9.1,13.13,91,15.0,4.0,79.5,12.0,8.0,102.1,6,5,885,14,22,78.9,12,42,111.6
2012R0609,2012,6,2012-05-06,20.5,14.8,10.4,4,1900-01-01 14:40:00,37202,17,4.4,7.1,12.15,17.18,120,12,4.0,7.2,12.2,15.5,95,1.0,24.0,161.5,10.0,12.0,119.6,6,5,880,5,60,124.2,8,56,112.5
2012R0701,2012,7,2012-05-11,17.0,9.4,1.8,2,1900-01-01 19:50:00,36430,11,3.3,3.5,5.11,6.13,49,10,2.6,8.12,10.18,15.25,115,18.0,0.0,56.8,9.0,16.0,123.1,4,5,1190,16,16,67.5,1,68,154.6
2012R0702,2012,7,2012-05-12,17.0,6.8,0.0,6,1900-01-01 12:45:00,35535,1,6.3,14.5,17.7,19.8,122,7,3.2,4.2,6.8,10.12,72,3.0,24.0,126.1,10.0,16.0,103.5,5,5,765,2,68,132.5,6,60,117.1
